link,floor,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,pred_price,diff,marker
https://krasnodar.cian.ru/sale/flat/280321852/,24,1,30.0,3300000,2021,15.0,5.0,3557361.7651371523,7.798841367792494,overpriced
https://krasnodar.cian.ru/sale/flat/278857500/,4,1,38.0,3400000,2016,15.0,11.0,3955703.6448419495,16.34422484829263,overpriced
https://novorossiysk.cian.ru/sale/flat/283047458/,5,1,28.0,3450000,2022,24.2,-1.0,3789344.0777629144,9.83606022501201,overpriced
https://krasnodar.cian.ru/sale/flat/279398308/,2,1,37.7,3500000,2020,17.0,18.0,4029214.8200631305,15.120423430375157,overpriced
https://krasnodar.cian.ru/sale/flat/277492875/,3,1,38.0,3500000,2012,20.0,12.0,3939524.1418643366,12.55783262469533,overpriced
https://krasnodar.cian.ru/sale/flat/272795252/,8,1,36.6,3500000,2009,17.0,11.3,3946929.7665802212,12.769421902292036,overpriced
https://krasnodar.cian.ru/sale/flat/277810887/,8,1,35.1,3550000,2022,23.5,9.2,4046391.623725765,13.982862640162393,overpriced
https://krasnodar.cian.ru/sale/flat/278983110/,2,2,52.0,3550000,1982,31.0,8.0,4023308.0853628805,13.332622122898043,overpriced
https://krasnodar.cian.ru/sale/flat/279521856/,3,1,34.9,3590000,2021,20.0,11.0,3860386.7076887083,7.531663166816388,overpriced
https://krasnodar.cian.ru/sale/flat/268030001/,2,1,36.0,3620000,2016,19.0,10.0,3775796.5739245987,4.303772760348032,overpriced
https://krasnodar.cian.ru/sale/flat/276759530/,7,3,66.2,3600000,1988,40.9,8.6,4892634.95772564,35.90652660349001,overpriced
https://krasnodar.cian.ru/sale/flat/280609946/,5,2,47.2,3600000,1982,33.0,5.0,4741250.0601903135,31.701390560842043,overpriced
https://krasnodar.cian.ru/sale/flat/281161788/,3,1,25.3,3600000,2021,17.7,4.0,3436321.4342960333,-4.546626825110185,underpriced
https://krasnodar.cian.ru/sale/flat/278091033/,24,1,35.1,3600000,-1,14.3,9.2,3836063.960879713,6.55733224665869,overpriced
https://krasnodar.cian.ru/sale/flat/280376977/,14,1,37.0,3650000,2022,13.0,12.0,4065120.146894205,11.37315470943027,overpriced
https://krasnodar.cian.ru/sale/flat/281084758/,1,1,37.4,3650000,-1,16.8,9.8,3481623.3329299176,-4.613059371783079,underpriced
https://gelendzhik.cian.ru/sale/flat/281613566/,8,2,32.0,3700000,1985,21.5,8.0,3840771.6202374417,3.8046383847957226,overpriced
https://krasnodar.cian.ru/sale/flat/274233362/,5,2,40.0,3700000,2020,25.0,7.0,4211628.978483651,13.827810229287861,overpriced
https://krasnodar.cian.ru/sale/flat/271220651/,3,1,38.0,3790000,2007,20.0,10.0,3932035.81670468,3.7476468787514565,overpriced
